business_id,stars,review_count,parking_availability_score,enhanced_parking_score,has_parking,price_range,total_reviews,avg_review_stars,review_engagement,rating_consistency,is_restaurant,parking_mentions,parking_positive_sentiment,parking_negative_sentiment,free_parking_mentions,valet_mentions,has_good_parking,is_highly_rated
1UHIvB6uisSkKcXatUft1w,4.0,111,2,3.0,1,2.0,115,3.991304347826087,1.791304347826087,1.6666666666666667,1,13,1,0,0,0,1,0
wGhlVNlqJmMFYqLIva3COw,4.0,25,2,2.0,1,2.0,26,3.692307692307693,2.1153846153846154,1.6666666666666667,1,2,0,0,0,0,0,0
XCY5mYQv-6Y-uOZEOgOhiQ,4.0,583,1,1.5,1,2.0,601,3.830282861896839,2.074875207986689,1.6666666666666667,1,9,0,0,0,0,0,0
-Tskf8WK17rb3ZfeFuRSWA,4.0,1822,2,4.5,1,2.0,1841,3.9380771319934817,1.1988049972840846,1.6666666666666667,1,19,1,0,1,1,1,0
cpauYmd7cXS5g1KREWOxuA,4.5,24,5,5.0,1,,24,4.541666666666667,1.5,1.6666666666666667,1,4,0,0,0,0,1,1
OwSQF9WCbQf1Kvk0HzmEcg,3.0,13,2,3.0,1,1.0,13,3.230769230769231,0.6923076923076923,1.6666666666666667,1,7,1,0,0,0,1,0
tTwVgekt3y9Qi9G9MCJU3A,2.5,16,2,2.0,1,2.0,16,2.625,4.4375,1.6666666666666667,1,3,0,0,0,0,0,0
jHP7LKR1LheZy8rcdrOE3Q,4.5,184,2,4.0,1,2.0,186,4.306451612903226,2.720430107526881,1.6666666666666667,1,14,1,0,1,0,1,1
bg0oWB7DnkBzHqIKSiq9Fg,2.5,12,1,1.0,1,2.0,12,2.6666666666666665,1.0833333333333333,1.6666666666666667,1,0,0,0,0,0,0,0
9uRj85PviKNiMCYPwiJyIw,3.5,473,3,4.0,1,2.0,482,3.614107883817427,1.5352697095435686,1.6666666666666667,1,17,0,0,0,1,1,0
9mvk_MwDpg2i6i8Odix3jw,3.0,28,2,2.5,1,2.0,32,3.0625,2.125,1.6666666666666667,1,13,0,0,0,0,0,0
OWOTBvbukTtRywo_WowaCA,3.0,39,2,2.0,1,1.0,39,3.102564102564102,1.4615384615384617,1.6666666666666667,1,2,0,0,0,0,0,0
Cr-uaPrfvG7tvqzLGAGErA,3.5,58,2,3.0,1,2.0,59,3.542372881355932,1.1694915254237288,1.6666666666666667,1,22,1,0,0,0,1,0
zxpJ4Frr8Zoru-YaNzOxzw,3.5,33,2,2.0,1,1.0,35,3.571428571428572,1.2571428571428571,1.6666666666666667,1,4,0,0,0,0,0,0
j7c9WjWoYK_JpitKoRhE-A,3.5,33,3,3.0,1,,34,3.735294117647059,1.7058823529411764,1.6666666666666667,1,5,0,0,0,0,1,0
KKWQ-OyBDSEVtPQGt3yxiQ,4.5,44,1,2.0,1,2.0,45,4.511111111111111,1.8,1.6666666666666667,1,3,1,0,0,0,0,1
-ATiAtTikuGuqvaW2O6tNA,3.5,593,3,3.5,1,2.0,604,3.4387417218543046,0.8178807947019867,1.6666666666666667,1,13,0,0,0,0,1,0
V2f1ws_gW8ywqptqkuN2Vw,4.5,26,2,3.0,1,,26,4.730769230769231,5.423076923076923,1.6666666666666667,1,11,2,0,0,0,1,1
pnrFTo66eG6uyYkMtNtOxA,4.0,121,2,2.5,1,2.0,123,3.991869918699187,1.4308943089430894,1.6666666666666667,1,15,0,0,0,0,0,0
NcO-pWiZmNM5zBg8H9zB6Q,4.0,191,3,3.5,1,2.0,200,3.81,1.025,1.6666666666666667,1,6,0,0,0,0,1,0
8rR1SQZZHz9z_4MMars6jw,3.5,66,2,2.0,1,,69,3.579710144927536,0.8840579710144928,1.6666666666666667,1,3,0,0,0,0,0,0
aKOo9Kacq-4Wnsy6ilfdQw,4.0,422,2,4.0,1,2.0,451,4.042128603104213,1.7893569844789357,1.6666666666666667,1,10,3,0,1,0,1,1
FQJ4ph8e1SMz5YWsdH2m8Q,4.0,291,2,3.0,1,2.0,299,4.050167224080267,0.7591973244147158,1.6666666666666667,1,17,0,0,0,7,1,1
Ak4vFqHZUWU5KXONRnuieQ,4.0,166,3,4.5,1,2.0,167,4.203592814371257,1.2095808383233533,1.6666666666666667,1,18,0,0,1,0,1,1
XiLBIu6YLaC8awWGfw1vGQ,3.0,29,2,2.5,1,1.0,30,3.033333333333333,1.3,1.6666666666666667,1,12,0,0,0,0,0,0
dSrIyeFwekD5m5kYL9IFnA,4.0,78,3,5.0,1,2.0,79,4.151898734177215,1.5949367088607596,1.6666666666666667,1,28,1,0,1,0,1,1
r4Hbl2IbBMMKPVGhyzWImg,4.5,13,1,2.0,1,1.0,14,4.285714285714286,0.5,1.6666666666666667,1,6,0,0,0,1,0,1
o4IiNbNybcy-L4vzTSoDJw,4.0,672,3,3.5,1,2.0,694,3.8688760806916425,1.6887608069164266,1.6666666666666667,1,7,0,0,0,0,1,0
xrYL3EjqPjPTaN6lAEb2Pg,3.5,161,2,2.5,1,2.0,169,3.3136094674556213,1.5798816568047338,1.6666666666666667,1,22,0,0,0,0,0,0
ZkrXbggfyps0StAuUZWNIQ,3.0,26,2,1.0,1,1.0,27,3.259259259259259,1.8148148148148149,1.6666666666666667,1,8,0,1,0,0,0,0
6Bf5KwuT9iZlFrUlcP7RHg,5.0,64,1,1.5,1,,66,4.848484848484849,1.4848484848484849,1.6666666666666667,1,7,0,0,0,0,0,1
v05BYE7TfTNCdXoYvvv17g,2.5,36,2,2.0,1,1.0,36,2.333333333333333,0.7222222222222222,1.6666666666666667,1,5,0,0,0,0,0,0
dRTzm4V5hcbkYgLIV6kC4w,4.0,210,2,2.5,1,2.0,216,3.842592592592593,1.5601851851851851,1.6666666666666667,1,8,0,0,0,0,0,0
DY2MwXiena93u6JeI7Th_w,3.5,41,3,5.0,1,2.0,42,3.7142857142857135,0.7857142857142857,1.6666666666666667,1,25,1,0,1,0,1,0
tR8AbF6WXVoY4eHZcHSNXw,3.5,21,3,3.0,1,,22,3.409090909090909,0.9545454545454546,1.6666666666666667,1,4,0,0,0,0,1,0
7UWUdyMDyfFFaKA7-ga8EQ,4.5,62,2,2.5,1,1.0,63,4.634920634920635,1.6825396825396826,1.6666666666666667,1,6,0,0,0,0,0,1
WNhcS2zi4zAqA2TbduVINQ,4.0,746,5,5.0,1,2.0,775,4.223225806451613,1.3716129032258064,1.6666666666666667,1,8,0,0,0,0,1,1
yK5WnMiXZe5hmNFx0xXb-w,3.5,166,2,2.5,1,1.0,171,3.3625730994152048,2.1169590643274856,1.6666666666666667,1,16,0,0,0,0,0,0
atjljIC2390IAk9d0ab-3Q,4.0,147,1,2.0,1,2.0,154,4.0064935064935066,1.7207792207792207,1.6666666666666667,1,40,1,1,1,0,0,1
WYVfBAH5GMWp2REVIAt30w,4.5,41,1,1.5,1,,41,4.682926829268292,1.4390243902439024,1.6666666666666667,1,6,0,0,0,0,0,1
aqqzWQl8vjAnpr_8Pnl9ww,4.0,19,1,1.0,1,,19,4.052631578947368,0.8947368421052632,1.6666666666666667,1,4,0,0,0,0,0,1
lB0QRhfNQQI0-Znf7hkBXA,4.0,70,1,1.0,1,2.0,74,4.04054054054054,0.7162162162162162,1.6666666666666667,1,2,0,0,0,0,0,1
Dv0tENo7Ug1duvNS2hltBw,3.5,224,2,2.5,1,2.0,237,3.413502109704641,1.1940928270042197,1.6666666666666667,1,19,0,0,0,0,0,0
YBq6blbEs3Vc43x-G0mC8w,3.5,149,2,2.5,1,3.0,154,3.551948051948052,1.4025974025974026,1.6666666666666667,1,13,0,0,0,0,0,0
0qNL3BdvIS_WLDk8fz3Blw,4.0,280,1,0.0,1,2.0,296,4.0608108108108105,2.277027027027027,1.6666666666666667,1,19,0,1,0,0,0,1
JPvu_C1q6XTE3Ej1f0PBCg,4.0,200,1,1.5,1,2.0,203,4.004926108374384,1.6305418719211822,1.6666666666666667,1,10,0,0,0,0,0,1
e0CA8hTRjk0cVmxW0kYmIQ,4.5,106,2,2.5,1,,108,4.388888888888889,1.0648148148148149,1.6666666666666667,1,6,0,0,0,0,0,1
ki1ji38VOBVhZJ__Awvf-Q,3.5,70,3,3.0,1,3.0,73,3.5616438356164384,2.2739726027397262,1.6666666666666667,1,4,0,0,0,0,1,0
_-8TAMmIbDGkZCXAqSkFMg,3.5,58,2,2.0,1,1.0,60,3.683333333333333,0.7166666666666667,1.6666666666666667,1,5,0,0,0,0,0,0
pmOE6L49V7vcLRTEDD0Snw,1.5,23,2,2.5,1,1.0,23,1.3043478260869563,0.1304347826086956,1.6666666666666667,1,6,0,0,0,0,0,0
B93BiuxTi4M533Ll-7XYTA,4.0,30,2,2.5,1,1.0,32,3.75,3.0625,1.6666666666666667,1,8,0,0,0,0,0,0
utyEsymR_vHtIU2BgdeE6A,2.0,28,2,2.0,1,1.0,29,1.896551724137931,0.7586206896551724,1.6666666666666667,1,1,0,0,0,0,0,0
xppn6ViiUkZT_K_OswcB7g,3.5,118,2,1.0,1,2.0,126,3.753968253968254,1.4523809523809523,1.6666666666666667,1,13,0,2,0,0,0,0
uupdI7jlavQBKXme3NS6cA,1.5,65,2,3.0,1,1.0,67,1.671641791044776,1.2238805970149254,1.6666666666666667,1,7,1,0,0,0,1,0
gebiRewfieSdtt17PTW6Zg,3.5,488,1,1.5,1,2.0,502,3.3924302788844622,1.4661354581673307,1.6666666666666667,1,11,0,0,0,0,0,0
BWK7MAUayTZlQ_3PJeaudg,4.0,333,2,2.5,1,1.0,352,3.778409090909091,2.0056818181818183,1.6666666666666667,1,25,0,0,0,0,0,0
OLa-9kI4kWN37vh74lbYwg,4.0,173,2,3.5,1,3.0,180,4.072222222222222,2.561111111111111,1.6666666666666667,1,14,0,0,1,0,1,1
RqrwN_JDFYH0fjCP29cokQ,4.0,75,2,2.5,1,2.0,75,4.04,1.24,1.6666666666666667,1,10,0,0,0,0,0,1
GGLtLL7ShmjOjVZSeZfjVA,4.5,22,2,2.0,1,2.0,24,4.25,1.875,1.6666666666666667,1,4,0,0,0,0,0,1
tN2YFUeWAYViTIBymlKEqw,4.0,12,2,2.0,1,1.0,12,4.083333333333333,0.8333333333333334,1.6666666666666667,1,2,0,0,0,0,0,1
zhn28iqIxCTD7hQX7t04gg,3.5,202,2,4.0,1,2.0,210,3.776190476190476,2.1666666666666665,1.6666666666666667,1,11,2,0,1,0,1,0
IKiSMV6TGusf6ZJcpr-qdg,4.5,43,2,2.5,1,2.0,45,4.2444444444444445,1.0666666666666669,1.6666666666666667,1,9,0,0,0,0,0,1
gYYMQeg4X8FUcCxXI4c2Tw,4.0,488,1,1.5,1,2.0,494,4.012145748987854,3.4473684210526314,1.6666666666666667,1,10,0,0,0,0,0,1
FRRN15VZZ9KKBFgVnVMrrQ,3.5,36,2,2.5,1,1.0,40,3.225,2.425,1.6666666666666667,1,7,0,0,0,0,0,0
sNOzfwyTZDwKtMiTwjQobA,4.0,154,2,3.0,1,2.0,160,4.05625,1.71875,1.6666666666666667,1,37,3,0,0,0,1,1
BjeHLwKOlHyV6DJgmZxAjA,4.0,2137,1,1.0,1,2.0,2178,4.202479338842975,0.8888888888888888,1.6666666666666667,1,4,0,0,0,0,0,1
HtWJVjBrlFFQ_9q0B-5RQQ,2.5,74,2,2.5,1,2.0,77,2.441558441558441,2.792207792207792,1.6666666666666667,1,18,0,0,0,0,0,0
1jbONx-Csh9aTkk0E9O9jw,2.5,45,2,2.0,1,2.0,46,2.6956521739130435,3.0217391304347827,1.6666666666666667,1,1,0,0,0,0,0,0
FG2cLs48PEwuzYGon-bxCg,3.5,218,3,3.5,1,2.0,223,3.5739910313901344,0.8385650224215246,1.6666666666666667,1,16,0,0,0,0,1,0
SsbIZ1SYmWKcZzlIFMRSKQ,4.5,22,3,3.0,1,1.0,25,4.36,2.32,1.6666666666666667,1,1,0,0,0,0,1,1
5mq34DWqnFlxPNN8qzKtEw,3.5,35,2,2.0,1,1.0,38,3.3684210526315788,0.8421052631578947,1.6666666666666667,1,3,0,0,0,0,0,0
YBncKq0rdijgeIyjuW_Czw,4.0,124,2,4.0,1,2.0,125,3.984,1.872,1.6666666666666667,1,25,1,0,1,0,1,0
gm4cW6bfnr33jOnh7V95GQ,4.5,89,1,1.5,1,2.0,95,4.28421052631579,3.2421052631578946,1.6666666666666667,1,12,0,0,0,0,0,1
Kq4xVLF9qc6uRY3VQtXQBg,2.5,47,2,2.5,1,2.0,48,2.4791666666666665,0.625,1.6666666666666667,1,22,0,0,0,0,0,0
Q6UGtl17sUJVk9i5ey3ioA,4.0,131,2,2.5,1,2.0,136,3.926470588235294,1.463235294117647,1.6666666666666667,1,13,0,0,0,0,0,0
5rScKeYVjFk8VahsvJv9QA,4.0,394,2,2.5,1,2.0,418,3.9043062200956937,2.6555023923444976,1.6666666666666667,1,30,0,0,0,0,0,0
z-3WHevuNrqHybfo2xk_Rg,4.0,61,1,1.5,1,2.0,61,3.9344262295081966,1.9180327868852456,1.6666666666666667,1,16,0,0,0,0,0,0
CwlTwIit3XNr2-I7Oq-6hg,4.5,53,2,2.5,1,,54,4.425925925925926,2.1666666666666665,1.6666666666666667,1,15,0,0,0,0,0,1
8RZwphljLVABXgnDgMj6Hg,3.5,230,2,3.0,1,2.0,239,3.368200836820084,0.9372384937238494,1.6666666666666667,1,22,1,0,0,0,1,0
87eWKmI-nxN_76n1OKHcHQ,4.0,34,2,2.0,1,,34,3.852941176470588,1.2058823529411764,1.6666666666666667,1,3,0,0,0,0,0,0
xBGoE_7YHxV4LcuftKk5ag,3.5,15,2,2.0,1,1.0,20,3.6,1.45,1.6666666666666667,1,0,0,0,0,0,0,0
gABEjWGwhojrub_tXqE2uw,3.5,146,2,2.5,1,1.0,155,3.419354838709677,1.3483870967741935,1.6666666666666667,1,17,0,0,0,0,0,0
Ok1ozDNrYFkGkJQZYswalQ,3.5,96,2,3.0,1,1.0,100,3.36,1.34,1.6666666666666667,1,12,2,0,0,0,1,0
PQrcv43hUP6WaIg8rhRJpA,2.5,65,2,2.5,1,1.0,71,2.704225352112676,0.8309859154929577,1.6666666666666667,1,12,0,0,0,0,0,0
iF_92LcvfJfrtwjHWhVb-Q,3.0,67,2,3.0,1,2.0,69,3.260869565217391,1.2318840579710144,1.6666666666666667,1,6,1,0,0,0,1,0
Aphp-EdFass877c-sWp5eg,3.5,145,2,4.0,1,2.0,156,3.3076923076923075,1.3397435897435896,1.6666666666666667,1,21,4,0,1,0,1,0
2h0D_jeKy81uZgpZGZmGPA,3.0,272,2,2.5,1,1.0,294,2.962585034013605,1.629251700680272,1.6666666666666667,1,10,0,0,0,0,0,0
jnge13lFtiLGXQEo5NwSYw,4.5,67,2,3.0,1,,69,4.739130434782608,5.028985507246377,1.6666666666666667,1,5,1,0,0,0,1,1
n_UrYjNafyzDCRcwiugnJA,4.5,77,3,3.5,1,1.0,78,4.384615384615385,1.1282051282051282,1.6666666666666667,1,16,0,0,0,0,1,1
Rbe567WR_gpGMHvimhLLSQ,3.0,38,1,1.0,1,2.0,43,3.0232558139534884,0.9302325581395348,1.6666666666666667,1,3,0,0,0,0,0,0
3bDVXWqAZZbSp7bS8aYhfg,4.5,23,2,2.5,1,2.0,23,4.391304347826087,1.826086956521739,1.6666666666666667,1,7,0,0,0,0,0,1
0cWnURpfrb4MqKSzyVN4SQ,4.0,152,3,3.5,1,2.0,155,4.2064516129032254,1.238709677419355,1.6666666666666667,1,6,0,0,0,0,1,1
v66ZTl8tOGWQs-Z6BJOEcA,4.0,72,2,3.5,1,2.0,75,3.8,3.493333333333333,1.6666666666666667,1,6,0,0,1,0,1,0
_bqwjNXAW_Li6c8suIwdBg,4.0,310,2,3.5,1,2.0,332,3.843373493975904,2.3072289156626504,1.6666666666666667,1,10,0,0,1,0,1,0
v-QzzKuz3LF5XtG6F8ePxg,2.5,74,2,2.5,1,1.0,75,2.7066666666666666,1.08,1.6666666666666667,1,8,0,0,0,0,0,0
GTjOyc4NVHgDJXnMdL_TTg,4.0,152,2,3.0,1,2.0,157,3.764331210191082,1.0828025477707006,1.6666666666666667,1,11,1,0,0,0,1,0
QK9s-Chx69_U-M2gsPb3Gw,3.5,271,2,2.5,1,2.0,286,3.5664335664335662,1.1888111888111887,1.6666666666666667,1,29,1,1,0,8,0,0
a7RobRBScR0SVQVMKwkJmw,4.0,30,2,3.0,1,1.0,30,3.8333333333333335,3.633333333333333,1.6666666666666667,1,12,1,0,0,0,1,0
Kz8fV4tLl8HlPpoDYVsmCQ,5.0,20,2,2.0,1,1.0,21,4.714285714285714,0.9523809523809524,1.6666666666666667,1,5,0,0,0,0,0,1
dSmM4ci0KATCGxSqH4Ic5A,4.5,136,2,1.0,1,2.0,144,4.597222222222222,1.4652777777777777,1.6666666666666667,1,18,0,1,0,0,0,1
Yv9KUZ-N3otoKUtToPPxAg,4.0,274,1,1.5,1,2.0,304,4.1118421052631575,0.819078947368421,1.6666666666666667,1,8,0,0,0,0,0,1
P_4nbKSE9l_YhgufqOis-w,2.5,75,2,2.5,1,2.0,79,2.6962025316455698,1.9367088607594936,1.6666666666666667,1,20,0,0,0,0,0,0
PXDLSN8Fg-YQmwGprVrRyA,4.0,106,2,2.5,1,2.0,109,4.091743119266055,1.788990825688073,1.6666666666666667,1,6,0,0,0,0,0,1
PzAYUWwfZqUOoL863k1gMg,3.5,87,1,1.5,1,1.0,90,3.611111111111111,0.9111111111111112,1.6666666666666667,1,8,0,0,0,0,0,0
kYFJQDMHsubrwDfRpEfDTA,3.5,81,1,1.5,1,1.0,81,3.679012345679012,5.54320987654321,1.6666666666666667,1,9,0,0,0,0,0,0
ynAOBtqwYT9U4Jg79etHbg,4.5,221,2,2.5,1,2.0,234,4.683760683760684,1.4273504273504274,1.6666666666666667,1,6,0,0,0,0,0,1
uMVOtr16r1ELu46pWr4HCQ,4.0,539,3,4.5,1,2.0,565,4.028318584070797,1.791150442477876,1.6666666666666667,1,36,0,0,1,0,1,1
eiStH9DM4qGRlZDZrn3__Q,4.5,45,2,3.0,1,,45,4.288888888888889,2.6444444444444444,1.6666666666666667,1,8,1,0,0,0,1,1
_dTBUYA7qaXCOn3TomqI_w,3.0,118,1,1.5,1,1.0,129,3.186046511627907,1.4806201550387597,1.6666666666666667,1,14,0,0,0,0,0,0
arNrOonzRbJauWWoeqAavw,4.0,36,2,3.0,1,1.0,36,3.7777777777777777,2.055555555555556,1.6666666666666667,1,11,1,0,0,0,1,0
G1vUqy1-vDsCbCFrZkFnuQ,1.5,36,2,2.0,1,1.0,37,1.5135135135135136,0.5945945945945946,1.6666666666666667,1,1,0,0,0,0,0,0
CTmAWi-W8_Id00EjHF5Uwg,3.5,131,2,2.0,1,2.0,134,3.2686567164179103,1.111940298507463,1.6666666666666667,1,5,0,0,0,0,0,0
YrYAi_9T7Uqx1JyB49rFDA,3.5,47,2,2.0,1,1.0,50,3.68,0.94,1.6666666666666667,1,4,0,0,0,0,0,0
6F1ZGDCyPTpV77PKTh6fGA,3.5,129,2,2.5,1,2.0,137,3.510948905109489,1.131386861313869,1.6666666666666667,1,6,0,0,0,0,0,0
cl5Z6TuyadIyOMwYAB0C5w,3.5,49,2,2.5,1,1.0,49,3.4489795918367347,1.469387755102041,1.6666666666666667,1,8,0,0,0,0,0,0
-ipZBVF9nWm1vzrvQ3444A,4.0,131,2,2.5,1,1.0,136,3.8308823529411766,1.0294117647058822,1.6666666666666667,1,10,0,0,0,0,0,0
QMU0VyEWcK2d5Sfdb3Qi7Q,4.5,15,2,2.0,1,1.0,15,4.4,1.6666666666666667,1.6666666666666667,1,2,0,0,0,0,0,1
pg6RCapqdBVRGMg2kjoIxQ,3.5,49,3,5.0,1,2.0,56,3.4285714285714284,1.9464285714285716,1.6666666666666667,1,65,8,2,1,0,1,0
c-VayoFudmOcwk7YdT1atQ,5.0,15,2,2.0,1,,15,4.866666666666666,1.7333333333333334,1.6666666666666667,1,3,0,0,0,0,0,1
vcFZUKl3qQBb-u1BS6pitw,4.5,41,2,2.5,1,2.0,41,4.414634146341464,1.4146341463414631,1.6666666666666667,1,9,0,0,0,0,0,1
xyvZFHfyx0TvKZb1WlbxVg,3.0,53,2,3.0,1,2.0,58,2.810344827586207,3.2241379310344827,1.6666666666666667,1,20,1,0,0,0,1,0
pqiFIcObG_qW16x9cHcznQ,4.0,94,1,3.0,1,1.0,95,4.010526315789473,1.431578947368421,1.6666666666666667,1,32,4,1,4,0,1,1
ZoKRo6oYfRLMWZdWA1PQYQ,4.5,106,2,3.0,1,2.0,117,4.564102564102564,1.435897435897436,1.6666666666666667,1,15,2,0,0,0,1,1
WfirX5srPxO81WfhTgQnEg,4.0,275,2,2.5,1,1.0,284,4.066901408450704,1.0246478873239435,1.6666666666666667,1,9,0,0,0,0,0,1
Oaok8oN7hL3KXKAyVWLYvA,3.5,38,2,2.0,1,1.0,39,3.58974358974359,0.7435897435897436,1.6666666666666667,1,3,0,0,0,0,0,0
YSGxbx26Kouq-c4Ttz3FZA,4.0,29,3,3.5,1,1.0,29,4.206896551724138,1.6551724137931034,1.6666666666666667,1,11,0,0,0,0,1,1
TNTBObKmICMn13T0pyAGyg,4.0,904,3,4.0,1,2.0,959,4.0510948905109485,1.3305526590198122,1.6666666666666667,1,11,0,0,0,4,1,1
mGNt3rtzagXxtN6XRHlL1A,3.5,41,2,2.0,1,1.0,45,3.333333333333333,1.0888888888888888,1.6666666666666667,1,4,0,0,0,0,0,0
Faog49Gh5vUudIhUqI9m2A,5.0,23,1,1.0,1,,23,4.956521739130435,1.3478260869565215,1.6666666666666667,1,1,0,0,0,0,0,1
RIpw8ktw_EySO46aEMClyQ,3.0,17,2,2.0,1,2.0,17,2.8823529411764706,0.6470588235294118,1.6666666666666667,1,0,0,0,0,0,0,0
aoL_suEE8_QemZwhuTGo7A,3.0,52,3,3.0,1,1.0,54,3.185185185185185,1.3888888888888888,1.6666666666666667,1,4,0,0,0,0,1,0
BJZRXB6e1XkearWslqrt5w,3.5,16,2,2.0,1,1.0,17,3.647058823529412,0.8823529411764706,1.6666666666666667,1,0,0,0,0,0,0,0
oVXNeZXl3PejvE66V50iag,4.0,125,2,3.0,1,2.0,132,4.212121212121212,1.3484848484848484,1.6666666666666667,1,11,1,0,0,0,1,1
xHMNTqYE06eFgfskRo_YkQ,4.0,187,2,2.5,1,1.0,194,4.195876288659794,2.489690721649485,1.6666666666666667,1,9,0,0,0,0,0,1
6XyIq0SJpt9uNwkgWlXfQg,4.0,37,3,3.5,1,2.0,37,4.162162162162162,1.972972972972973,1.6666666666666667,1,15,0,0,0,0,1,1
YHlZCtNLplWoXK_eoOs9-g,4.0,136,3,4.0,1,,142,3.9225352112676055,2.8450704225352115,1.6666666666666667,1,26,0,0,0,1,1,0
KjfTHf2f38my82nQgVD1xA,4.0,29,2,3.0,1,1.0,29,4.206896551724138,3.896551724137931,1.6666666666666667,1,10,1,0,0,0,1,1
V4rJ61k14_u0t-rZzLbXiA,1.5,21,2,2.5,1,1.0,22,1.7272727272727273,5.863636363636363,1.6666666666666667,1,10,0,0,0,0,0,0
yU47K1bAUxI7tny6ZMYS8A,4.0,23,2,2.0,1,,23,3.869565217391304,3.869565217391304,1.6666666666666667,1,2,0,0,0,0,0,0
0NtUzPQr3rykg6km2F6L7w,3.5,161,2,3.0,1,2.0,171,3.327485380116959,1.7485380116959064,1.6666666666666667,1,10,1,0,0,0,1,0
AkNuIbco7mdsuOWLPyZXCg,3.5,79,2,3.0,1,1.0,82,3.3780487804878048,0.5609756097560976,1.6666666666666667,1,18,1,0,0,0,1,0
UmjITdXHhEF46ho6IhaGQg,2.0,351,5,5.0,1,2.0,364,1.8461538461538465,1.7884615384615383,1.6666666666666667,1,58,0,0,0,0,1,0
1Sl5-YrdHQNwd_LuKbxQ7A,4.5,30,3,4.0,1,,30,4.4,2.533333333333333,1.6666666666666667,1,5,0,0,1,0,1,1
hUX1yAimviBIhb21D_KtcQ,3.0,312,1,1.5,1,2.0,327,3.198776758409786,1.0061162079510704,1.6666666666666667,1,9,0,0,0,0,0,0
LnQRfj3pPz0369stRnwUWw,4.5,256,2,3.5,1,2.0,272,4.661764705882353,1.7977941176470589,1.6666666666666667,1,6,0,0,3,0,1,1
OFv2JGQPxydkyTacVWKySA,2.0,54,2,2.0,1,1.0,57,1.8070175438596487,1.6842105263157894,1.6666666666666667,1,0,0,0,0,0,0,0
-BPvsLwU9XqGRD275rEpsw,3.5,23,2,2.0,1,2.0,23,3.565217391304348,1.6956521739130437,1.6666666666666667,1,3,0,0,0,0,0,0
NsTtjA9ZuJVr6pHApkOXsw,3.5,158,2,2.5,1,2.0,164,3.5792682926829267,1.225609756097561,1.6666666666666667,1,11,0,0,0,0,0,0
G8H-8KnMFjS4bHtTBX9t7A,2.0,140,2,2.5,1,2.0,150,2.1266666666666665,1.84,1.6666666666666667,1,23,0,0,0,0,0,0
5CZT5u_nY4mmirQh5QLoEw,4.0,16,2,2.5,1,2.0,17,3.882352941176471,5.411764705882353,1.6666666666666667,1,12,0,0,0,0,0,0
